File version,2
Missing data value,-9999
EOM
Project name,River Murray Model
Source version,5.8.0.11719
Latest result run time,2021-07-06 16:56:25
Simulation time,1991-05-03 - 1991-12-27
Field,Units,RunName,ScenarioName,ScenarioInputSetName,Name,Site,ElementName,WaterFeatureType,ElementType,Structure,Custom
EOC
7
1,ML.day^-1,,Scenario 1,,Gauge: River Murray @ US Lock 1 (426902): Downstream Flow,River Murray @ US Lock 1 (426902),Downstream Flow,Gauge,Node,Downstream Flow,56c9b466-2708-42bb-bf0a-ab2cd1470fe9,
2,ML.day^-1,,Scenario 1,,Gauge: River Murray @ Wellington (426532): Downstream Flow,River Murray @ Wellington (426532),Downstream Flow,Gauge,Node,Downstream Flow,56c9b466-2708-42bb-bf0a-ab2cd1470fe9,
3,ML.day^-1,,Scenario 1,,Inflow: Inflow 28: Downstream Flow,Inflow 28,Downstream Flow,Inflow,Node,Downstream Flow,56c9b466-2708-42bb-bf0a-ab2cd1470fe9,
4,ML.day^-1,,Scenario 1,,Minimum Flow Requirement: Target Barrage Release: Downstream Flow,Target Barrage Release,Downstream Flow,Minimum Flow Requirement,Node,Downstream Flow,56c9b466-2708-42bb-bf0a-ab2cd1470fe9,
5,mg.L^-1,,Scenario 1,,Storage: Lake Albert: Stored Concentration,Lake Albert,Constituents,Storage,Node,Constituents@Salt@Stored Concentration,56c9b466-2708-42bb-bf0a-ab2cd1470fe9,
6,mg.L^-1,,Scenario 1,,Weir: Lake Alexandrina: Downstream Flow Concentration,Lake Alexandrina,Constituents,Weir,Node,Constituents@Salt@Downstream Flow Concentration,56c9b466-2708-42bb-bf0a-ab2cd1470fe9,
7,m,,Scenario 1,,Weir: Lake Alexandrina: Storage Level,Lake Alexandrina,Storage Level,Weir,Node,Storage Level,56c9b466-2708-42bb-bf0a-ab2cd1470fe9,
Date,1>River Murray @ US Lock 1 (426902)>Downstream Flow,2>River Murray @ Wellington (426532)>Downstream Flow,3>Inflow 28>Downstream Flow,4>Target Barrage Release>Downstream Flow,5>Lake Albert>Constituents@Salt@Stored Concentration,6>Lake Alexandrina>Constituents@Salt@Downstream Flow Concentration,7>Lake Alexandrina>Storage Level
EOH
1991-05-03,0,2857.3302978210891,3191.7800000000002,23537.357764065477,871.52849582916122,353.42445389501108,0.61868724863914559
1991-05-04,0,2701.7065768732023,3191.7800000000002,10528.353999911486,872.05952796872521,351.18035487865518,0.60733185291396896
1991-05-05,0,2464.0903545347528,3191.7800000000002,5589.0136729334299,872.5934701302283,350.18776281142948,0.60310784648239268
1991-05-06,165.19624578178343,2009.68257943242,3191.7800000000002,3351.4873993497617,873.13025756899845,349.69580078972496,0.60144693770510194
1991-05-07,1349.2516277061995,1309.1897955664106,3191.7800000000002,1918.0492868907247,873.66969261115071,349.4600571868508,0.600710208713089
1991-05-08,1484.650993413592,572.77433237935134,3191.7800000000002,828.01305679597453,874.21153056320941,349.40064644489206,0.6003083708799376
1991-05-09,1497.5562510557672,98.043962499537415,3191.7800000000002,177.82307615103343,874.75551150570004,349.44532686947559,0.59983866986648282
1991-05-10,1453.8634283972938,0,3191.7800000000002,170.00000000000003,875.30118688742641,0,0.59906454260109554
1991-05-11,1519.4137962683712,51.437553439660832,3191.7800000000002,169.99999999999994,875.84821925709639,0,0.59814636512819164
1991-05-12,1611.5545125639194,276.8983504864035,3191.7800000000002,169.99999999999994,876.39641470611423,349.67411712862304,0.59745961387948421
1991-05-13,1672.7525103906391,501.34091698616993,3191.7800000000002,169.99999999999997,876.94562424156413,349.78331393131458,0.59703090419204452
1991-05-14,1692.1123512084903,648.56090341443485,3191.7800000000002,170,877.49572577747199,349.89255605111646,0.59676334188197289
1991-05-15,1709.160865130056,735.80652648294415,3191.7800000000002,170,878.04663123623754,350.00183425693098,0.59658595207293086
1991-05-16,1786.7799752851711,796.20219562448324,3191.7800000000002,170,878.59354191132093,350.11098291550479,0.59648115824694714
1991-05-17,1808.2348700333453,847.7090619514064,3191.7800000000002,170,879.09976154548099,350.21860181064244,0.59642509320653869
1991-05-18,1808.3386510591051,894.26841437171026,3191.7800000000002,170,879.5528889157797,350.32303677381702,0.59640116734477155
1991-05-19,1808.5166531663363,936.03834609266914,3191.7800000000002,170,879.9525916036996,350.42386264609559,0.59640191619553395
1991-05-20,1808.5880930421438,972.66892671152561,3191.7800000000002,170,880.30368397254028,350.52123394716983,0.59642308968445568
1991-05-21,1808.5974424248636,1002.371263498653,3191.7800000000002,169.99999999999997,880.6131148131625,350.61554885470582,0.59645921999852358
1991-05-22,1808.601728485424,1023.1045652568855,3191.7800000000002,170,880.88855817621072,350.70730054660038,0.59650220412496413
1991-05-23,1808.6038819375237,1034.971862618977,3191.7800000000002,170,881.13755101500669,350.79700138607672,0.59654397393209213
1991-05-24,1808.6049727811042,1040.4042734139739,3191.7800000000002,170.00000000000006,881.36680671679494,350.88513129746923,0.5965795788085404
1991-05-25,1808.605507643259,1042.3690929567426,3191.7800000000002,170,881.58180014753611,350.97210088793537,0.59660771175130745
1991-05-26,1808.6057604429325,1042.9281001963154,3191.7800000000002,169.99999999999997,881.78670025209453,351.05823519196599,0.59662927234369267
1991-05-27,1808.6058785683642,1043.0544786724411,3191.7800000000002,170,881.98454337063094,351.14377716101666,0.59664582309279468
1991-05-28,1808.605933589351,1043.0785820776646,3191.7800000000002,170.00000000000003,882.17748711796833,351.22890199430793,0.59665878884779766
1991-05-29,1808.6059586272038,1043.083300230699,3191.7800000000002,170,882.36704565892956,351.31373358930864,0.59666924961797108
